dist_km,lat,lon,elev_m,grade_raw_pct,grade_sm_pct,grade_1km_pct,bearing_deg,curv_deg_km,radius_m,subdivision,in_tunnel
0.0000,49.2865265,-123.1127387,6.3,-4.590,-2.046,0.029,118.8,0.000,nan,Cascade Subdivision,0
0.0088,49.2864884,-123.1126324,5.9,-4.590,-5.282,0.065,129.2,0.000,nan,Cascade Subdivision,1
0.0144,49.2864564,-123.1125723,5.7,-4.590,-2.835,0.087,138.8,0.000,nan,Cascade Subdivision,1
0.0242,49.2863900,-123.1124831,5.2,-4.590,-3.993,0.128,128.3,0.000,nan,Cascade Subdivision,1
0.0314,49.2863503,-123.1124059,4.9,-4.590,-1.384,0.157,121.6,0.000,nan,Cascade Subdivision,1
0.0518,49.2862541,-123.1121658,3.9,0.080,-0.128,0.244,122.2,3.265,17547,Cascade Subdivision,0
0.2409,49.2853487,-123.1099598,4.1,-0.184,-0.825,0.278,121.7,0.000,nan,Cascade Subdivision,0
0.2688,49.2852166,-123.1096314,4.0,0.048,-0.548,0.243,118.8,0.000,nan,Cascade Subdivision,0
0.2982,49.2850891,-123.1092763,4.1,-0.226,-0.412,0.249,116.1,0.000,nan,Cascade Subdivision,0
0.3339,49.2849483,-123.1088351,4.0,-0.527,-0.123,0.303,114.2,0.000,nan,Cascade Subdivision,0
0.3651,49.2848331,-123.1084427,3.8,0.246,-0.102,0.333,110.6,-83.628,685,Cascade Subdivision,0
0.4082,49.2846964,-123.1078858,3.9,-0.321,-0.050,0.266,105.9,-72.444,791,Cascade Subdivision,0
0.4740,49.2845347,-123.1070129,3.7,-0.035,-0.017,0.386,105.7,-0.575,99649,Cascade Subdivision,0
0.6809,49.2840303,-123.1042685,3.6,0.341,-0.058,0.203,102.7,0.000,nan,Cascade Subdivision,0
0.7121,49.2839686,-123.1038477,3.7,0.101,0.010,0.148,97.2,0.000,nan,Cascade Subdivision,0
0.7475,49.2839286,-123.1033643,3.8,-0.065,0.021,0.150,92.6,0.000,nan,Cascade Subdivision,0
0.7616,49.2839228,-123.1031700,3.8,0.291,0.186,0.153,91.1,0.000,nan,Cascade Subdivision,0
0.7834,49.2839190,-123.1028689,3.8,0.135,1.734,0.150,91.1,0.000,nan,Cascade Subdivision,0
0.7896,49.2839179,-123.1027845,3.8,0.351,1.260,0.150,85.2,0.000,nan,Cascade Subdivision,0
0.8186,49.2839399,-123.1023862,3.9,0.290,1.026,0.181,80.6,0.000,nan,Cascade Subdivision,0
0.8496,49.2839855,-123.1019641,4.0,1.242,1.010,0.177,76.4,0.000,nan,Cascade Subdivision,0
0.8860,49.2840627,-123.1014760,4.5,0.779,0.139,0.157,71.0,-19.131,2995,Cascade Subdivision,0
1.1657,49.2848807,-123.0978297,6.7,-0.789,0.874,-0.051,71.3,6.074,9433,Cascade Subdivision,0
1.2088,49.2850052,-123.0972664,6.3,1.360,1.206,0.006,71.3,0.000,nan,Cascade Subdivision,0
1.2373,49.2850874,-123.0968947,6.7,1.450,1.726,-0.037,70.8,0.000,nan,Cascade Subdivision,0
1.2539,49.2851365,-123.0966782,7.0,-0.372,0.904,-0.088,71.9,0.000,nan,Cascade Subdivision,0
1.2791,49.2852068,-123.0963487,6.9,-1.569,0.109,-0.100,72.0,0.000,nan,Cascade Subdivision,0
1.2899,49.2852368,-123.0962074,6.7,-1.578,0.484,-0.103,71.9,0.000,nan,Cascade Subdivision,0
1.3127,49.2853007,-123.0959075,6.3,-0.112,0.294,-0.099,73.1,0.000,nan,Cascade Subdivision,0
